Image J,Point de référence : en bas à gauche de la cellule considérée,,,,,,,,,,,,,,,,
Name video,"output_1HYVrU
",output_3JCehT,output_5q84Sq,output_BFQlW5,output_GaRQek,output_gSz3MW,output_nkzWwN,output_Sjs50e,,Track number,,,X,Y,Distance ,Velocity,Pixel Value
,,,,,,,,,,46,67,6,682,401,0,0,102
,,,,,,,,,,47,67,7,682,401,0,0,87
,,,,,,,,,,48,67,8,682,401,0,0,111
,,,,,,,,,,49,67,9,685,400,-0.408,-0.204,111
,,,,,,,,,,50,67,10,685,400,0,0,87
,,,,,,,,,,51,69,1,729,361,-1,-1,118
,,,,,,,,,,52,69,2,732,354,0.982,0.491,104
,,,,,,,,,,53,69,3,729,354,-0.387,-0.194,111
,,,,,,,,,,54,69,4,728,354,-0.129,-0.065,71
,,,,,,,,,,55,69,5,728,354,0,0,111
,,,,,,,,,,56,69,6,728,354,0,0,141
,,,,,,,,,,57,69,7,728,354,0,0,140
,,,,,,,,,,58,69,8,722,354,0.774,0.387,85
,,,,,,,,,,59,69,9,722,354,0,0,79
,,,,,,,,,,60,69,10,714,362,-1.459,-0.73,103
,,,,,,,,,,,,,,,,,
,,,,,,,,,,1,70,1,658,570,-1,-1,85
,,,,,,,,,,2,70,2,681,569,-2.97,-1.485,65
,,,,,,,,,,3,70,3,681,569,0,0,68
,,,,,,,,,,4,70,4,682,569,-0.129,-0.065,66
,,,,,,,,,,5,70,5,709,574,-3.542,-1.771,78
,,,,,,,,,,6,70,6,709,578,-0.516,-0.258,93
,,,,,,,,,,7,70,7,709,578,0,0,90
,,,,,,,,,,8,70,8,710,578,-0.129,-0.065,97
,,,,,,,,,,9,70,9,710,578,0,0,79
,,,,,,,,,,10,70,10,710,578,0,0,61
,,,,,,,,,,11,72,1,698,550,-1,-1,88
,,,,,,,,,,12,72,2,712,550,-1.806,-0.903,62
,,,,,,,,,,13,72,3,720,550,-1.032,-0.516,99
,,,,,,,,,,14,72,4,721,550,-0.129,-0.065,88
,,,,,,,,,,15,72,5,737,552,-2.08,-1.04,74
,,,,,,,,,,16,72,6,742,552,-0.645,-0.323,93
,,,,,,,,,,17,72,7,742,552,0,0,105
,,,,,,,,,,18,72,8,742,552,0,0,77
,,,,,,,,,,19,72,9,748,554,-0.816,-0.408,80
,,,,,,,,,,20,72,10,748,554,0,0,67
,,,,,,,,,,21,74,1,732,514,-1,-1,80
,,,,,,,,,,22,74,2,734,514,-0.258,-0.129,83
,,,,,,,,,,23,74,3,741,514,-0.903,-0.452,85
,,,,,,,,,,24,74,4,744,514,-0.387,-0.194,84
,,,,,,,,,,25,74,5,764,514,-2.58,-1.29,87
,,,,,,,,,,26,74,6,769,514,-0.645,-0.323,104
,,,,,,,,,,27,74,7,769,514,0,0,103
,,,,,,,,,,28,74,8,770,516,-0.288,-0.144,80
,,,,,,,,,,29,74,9,770,517,-0.129,-0.065,84
,,,,,,,,,,30,74,10,770,517,0,0,61
,,,,,,,,,,31,76,1,629,373,-1,-1,80
,,,,,,,,,,32,76,2,637,373,-1.032,-0.516,90
,,,,,,,,,,33,76,3,645,373,-1.032,-0.516,101
,,,,,,,,,,34,76,4,650,373,-0.645,-0.323,84
,,,,,,,,,,35,76,5,666,374,-2.068,-1.034,89
,,,,,,,,,,36,76,6,666,376,-0.258,-0.129,131
,,,,,,,,,,37,76,7,666,376,0,0,90
,,,,,,,,,,38,76,8,666,376,0,0,100
,,,,,,,,,,39,76,9,666,376,0,0,97
,,,,,,,,,,40,76,10,666,376,0,0,71
,,,,,,,,,,41,78,1,658,346,-1,-1,68
,,,,,,,,,,42,78,2,674,345,-2.068,-1.034,50
,,,,,,,,,,43,78,3,684,345,-1.29,-0.645,74
,,,,,,,,,,44,78,4,684,345,0,0,80
,,,,,,,,,,45,78,5,698,352,-2.019,-1.01,74
,,,,,,,,,,46,78,6,698,352,0,0,100
,,,,,,,,,,47,78,7,700,353,-0.288,-0.144,103
,,,,,,,,,,48,78,8,702,353,-0.258,-0.129,89
,,,,,,,,,,49,78,9,702,353,0,0,71
,,,,,,,,,,50,78,10,702,353,0,0,78
,,,,,,,,,,51,80,1,746,293,-1,-1,60
,,,,,,,,,,52,80,2,754,293,-1.032,-0.516,59
